"RecordType"|"Company"|"Number"|"VendorGroup"|"Vendor"|"VendorName"|"TransactionDate"|"JCCo"|"Job"|"JobDescription"|"Description"|"DetailLineCount"|"TotalOrigCost"|"TotalOrigTax"|"RemainingAmount"|"RemainingTax"
"PO"|"1"|"1-13126091"|"1"|"52648"|"STAR RENTALS"|"5/6/2013 12:00:00 AM"|"1"|"  1686-001"|"PO# IGQ-40099"|"RENTALS                       "|"1"|"2301.72"|"0.00"|"35.82"|"0.00"
"PO"|"1"|"1-13126129"|"1"|"52648"|"STAR RENTALS"|"5/6/2013 12:00:00 AM"|"1"|" 13738-001"|"SHOP LOGISTICS 2011"|"RENTALS                       "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-13127085"|"1"|"53030"|"WILLAMETTE PRINT CO"|"5/7/2013 12:00:00 AM"|"1"|"  1292-001"|"INTEL D1X MOD 2 HVAC"|"MISC ITEMS                    "|"1"|"400.00"|"0.00"|"148.91"|"0.00"
"PO"|"1"|"1-13127088"|"1"|"53030"|"WILLAMETTE PRINT CO"|"5/7/2013 12:00:00 AM"|"1"|"  1292-001"|"INTEL D1X MOD 2 HVAC"|"MISC ITEMS                    "|"1"|"500.00"|"0.00"|"500.00"|"0.00"
"PO"|"1"|"1-13130045"|"1"|"53738"|"CHEM-AQUA"|"5/10/2013 12:00:00 AM"|"1"|" 11615-001"|"One Convention Place"|"MISC ITEMS                    "|"1"|"4459.00"|"0.00"|"1486.50"|"0.00"
"PO"|"1"|"1-13133033"|"1"|"50867"|"COMMERCIAL FILTER SALES"|"5/13/2013 12:00:00 AM"|"1"|"  2308-001"|"Snohomish County Cat"|"MISC ITEMS                    "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-13133036"|"1"|"53855"|"CONVERGINT TECHNOLOGIES"|"5/13/2013 12:00:00 AM"|"1"|" 11642-001"|"Bay Vista Tower"|"SUBCONTRACTS                  "|"1"|"5809.00"|"0.00"|"1452.25"|"0.00"
"PO"|"1"|"1-13133038"|"1"|"54153"|"ALEXANDER GOW FIRE EQUIP"|"5/13/2013 12:00:00 AM"|"1"|" 11642-001"|"Bay Vista Tower"|"SUBCONTRACTS                  "|"1"|"289.00"|"0.00"|"289.00"|"0.00"
"PO"|"1"|"1-13133159"|"1"|"53030"|"WILLAMETTE PRINT CO"|"5/13/2013 12:00:00 AM"|"1"|"  1292-001"|"INTEL D1X MOD 2 HVAC"|"MISC ITEMS                    "|"1"|"300.00"|"0.00"|"65.92"|"0.00"
"PO"|"1"|"1-13134015"|"1"|"52768"|"THERMAL SUPPLY INC"|"5/14/2013 12:00:00 AM"|"1"|"  8528-001"|"PYROTEK"|"HVAC MATERIALS                "|"1"|"640.00"|"0.00"|"340.00"|"0.00"
"PO"|"1"|"1-13135093"|"1"|"52863"|"MOTION INDUSTRIES INC"|"5/15/2013 12:00:00 AM"|"1"|"  7348-001"|"1124 Columbia Street"|"HVAC MATERIALS                "|"1"|"118.51"|"0.00"|"30.97"|"0.00"
"PO"|"1"|"1-13137098"|"1"|"55182"|"SOUND WATER TREATMENT"|"5/17/2013 12:00:00 AM"|"1"|" 11646-001"|"Millennium Tower - G"|"SUBCONTRACTS                  "|"1"|"4584.00"|"0.00"|"418.06"|"0.00"
"PO"|"1"|"1-13140100"|"1"|"50080"|"AIR REPS LLC"|"5/20/2013 12:00:00 AM"|"1"|"  1290-001"|"PDX-1 POD 5"|"EQUIPMENT                     "|"1"|"280900.00"|"0.00"|"700.00"|"0.00"
