"Company"|"InvoiceNumber"|"CustGroup"|"Customer"|"CustomerName"|"TransactionDate"|"InvoiceDescription"|"DetailLineCount"|"AmountDue"|"OriginalAmount"|"Tax"
"101"|"      8403"|"101"|"207668"|"Hitec Power Protection In"|"4/9/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"2378.89"|"2378.89"|"0.00"
"101"|"      8706"|"101"|"200001"|" Kaplan Inc              "|"4/12/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"5380.83"|"5380.83"|"0.00"
"101"|"      9211"|"101"|"209997"|"Langley Investment Proper"|"4/19/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"610.00"|"6100.00"|"0.00"
"101"|"      9274"|"101"|"217601"|"Unimark Construction     "|"4/22/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"2597.90"|"25979.00"|"0.00"
"101"|"      9296"|"101"|"207392"|"HOWARD S WRIGHT INC      "|"4/22/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"977.00"|"977.00"|"0.00"
"101"|"      9422"|"101"|"214608"|"Russell Construction     "|"4/23/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"679.50"|"6795.00"|"0.00"
"101"|"      9428"|"101"|"214608"|"Russell Construction     "|"4/23/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"3816.00"|"3816.00"|"0.00"
"101"|"      9499"|"101"|"207677"|"Hoffman Construction     "|"5/21/2013 12:00:00 AM"|"RETENTION BILLING   "|"1"|"42.00"|"0.00"|"0.00"
"101"|"      9666"|"101"|"217373"|"Turner Construction      "|"4/25/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"2648.10"|"26481.00"|"0.00"
"101"|"      9979"|"101"|"207404"|"HST Construction         "|"4/30/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"195.40"|"1954.00"|"0.00"
"101"|"     10474"|"101"|"214645"|"SABEY CONSTRUCTION       "|"5/6/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"2108.00"|"2108.00"|"0.00"
"101"|"     10475"|"101"|"204216"|"Costco Wholesale Pod     "|"5/6/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"1032.23"|"1032.23"|"0.00"
"101"|"     10501"|"101"|"216391"|"Swedish Medical Center   "|"5/6/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"813.59"|"813.59"|"0.00"
"101"|"     10514"|"101"|"206090"|"FRED MEYER CORPORATE     "|"5/6/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"916.19"|"916.19"|"0.00"
"101"|"     11552"|"101"|"211333"|"Metropolitan Contracting "|"5/20/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"12853.00"|"12853.00"|"0.00"
"101"|"     11554"|"101"|"206834"|"Gateway Construction     "|"5/20/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"252.70"|"2527.00"|"0.00"
"101"|"     11713"|"101"|"217601"|"Unimark Construction     "|"5/22/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"1465.00"|"1465.00"|"0.00"
"101"|"     12065"|"101"|"209997"|"Langley Investment Proper"|"8/27/2013 12:00:00 AM"|"                    "|"1"|"-3355.00"|"0.00"|"0.00"
"101"|"     12066"|"101"|"209997"|"Langley Investment Proper"|"8/27/2013 12:00:00 AM"|"                    "|"1"|"-580.00"|"0.00"|"0.00"
"101"|"     12186"|"101"|"200733"|"ATG - ADVANCED TECHNOLOGY"|"1/30/2013 12:00:00 AM"|"PO# 54769           "|"1"|"126.20"|"1262.00"|"0.00"
"101"|"     12193"|"101"|"207677"|"Hoffman Construction     "|"2/22/2013 12:00:00 AM"|"PO# VERBAL          "|"3"|"1875.55"|"8726.00"|"0.00"
"101"|"     12193"|"101"|"207677"|"Hoffman Construction     "|"3/20/2013 12:00:00 AM"|"PO# SUBCONTRACT     "|"2"|"-1515.00"|"-1515.00"|"0.00"
"101"|"     12193"|"101"|"207677"|"Hoffman Construction     "|"3/21/2013 12:00:00 AM"|"PO# SUBCONTRACT     "|"1"|"96.00"|"1920.00"|"0.00"
"101"|"     12200"|"101"|"210312"|"Lydig Construction       "|"3/28/2013 12:00:00 AM"|"PO# EMAIL           "|"1"|"2160.00"|"2160.00"|"0.00"
"101"|"     12205"|"101"|"200733"|"ATG - ADVANCED TECHNOLOGY"|"6/26/2013 12:00:00 AM"|"PO# 56588           "|"1"|"120.55"|"2411.00"|"0.00"
"101"|"     12211"|"101"|"218985"|"ZGF                      "|"5/28/2013 12:00:00 AM"|"PO# S21458          "|"2"|"876.00"|"876.00"|"0.00"
"101"|"     12213"|"101"|"200733"|"ATG - ADVANCED TECHNOLOGY"|"7/26/2013 12:00:00 AM"|"PO# 56935           "|"2"|"4227.00"|"4227.00"|"0.00"
"101"|"     12213"|"101"|"200733"|"ATG - ADVANCED TECHNOLOGY"|"8/9/2013 12:00:00 AM"|"PO# 56935           "|"2"|"-4227.00"|"-4227.00"|"0.00"
"101"|"     12213"|"101"|"200733"|"ATG - ADVANCED TECHNOLOGY"|"8/12/2013 12:00:00 AM"|"PO# 56935           "|"2"|"3675.00"|"3675.00"|"0.00"
"101"|"     12215"|"101"|"204135"|"Construct Inc            "|"7/31/2013 12:00:00 AM"|"PO# SUBCONTRACT     "|"1"|"16220.36"|"16220.36"|"0.00"
"101"|"     12218"|"101"|"204854"|"Davis Schueller Inc      "|"6/26/2013 12:00:00 AM"|"PO# NTP-EMAIL       "|"1"|"2821.32"|"2821.32"|"0.00"
"101"|"     12220"|"101"|"219035"|"Alaska Logistics         "|"6/26/2013 12:00:00 AM"|"PO# S00402          "|"1"|"1532.98"|"1532.98"|"0.00"
"101"|"     12224"|"101"|"215732"|"Sellen Construction      "|"7/31/2013 12:00:00 AM"|"PO# VERBAL          "|"1"|"-4943.53"|"4943.53"|"0.00"
"101"|"     12226"|"101"|"205594"|"Ellsworth Builders Inc   "|"5/29/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"977.00"|"977.00"|"0.00"
"101"|"     12226"|"101"|"219048"|"Marsh Construction Servic"|"6/26/2013 12:00:00 AM"|"PO# NTP-EMAIL       "|"1"|"800.00"|"800.00"|"0.00"
"101"|"     12227"|"101"|"206834"|"Gateway Construction     "|"5/29/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"297.80"|"2978.00"|"0.00"
"101"|"     12228"|"101"|"215905"|"Skanska USA Bldg WA Divis"|"7/31/2013 12:00:00 AM"|"PO# TO FOLLOW       "|"2"|"6146.24"|"6146.24"|"0.00"
"101"|"     12319"|"101"|"213514"|"Port of Seattle          "|"5/30/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"149.73"|"3279.01"|"0.00"
"101"|"     12320"|"101"|"208500"|"JR Abbott Construction   "|"5/30/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"10595.00"|"10595.00"|"0.00"
"101"|"     12376"|"101"|"215593"|"Schuchart Corporation    "|"5/30/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"10578.00"|"10578.00"|"0.00"
"101"|"     12448"|"101"|"207737"|"Horizon Retail Constructi"|"5/31/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"4566.68"|"11941.68"|"0.00"
"101"|"     12667"|"101"|"215819"|"Sherwin Williams         "|"7/31/2012 12:00:00 AM"|"                    "|"1"|"-237.62"|"0.00"|"0.00"
"101"|"     12667"|"101"|"215819"|"Sherwin Williams         "|"9/5/2012 12:00:00 AM"|"                    "|"1"|"-237.62"|"0.00"|"0.00"
"101"|"     13110"|"101"|"208501"|"JR Abbott Construction   "|"6/7/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"15000.00"|"15000.00"|"0.00"
"101"|"     13119"|"101"|"217601"|"Unimark Construction     "|"6/7/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"97.70"|"977.00"|"0.00"
"101"|"     13132"|"101"|"207404"|"HST Construction         "|"6/7/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"801.80"|"7118.00"|"0.00"
"101"|"     13136"|"101"|"205933"|"FIRST COMMERCIAL MGMT    "|"6/7/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"277.58"|"277.58"|"0.00"
"101"|"     13322"|"101"|"209997"|"Langley Investment Proper"|"6/12/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"750.00"|"750.00"|"0.00"
"101"|"     13324"|"101"|"209997"|"Langley Investment Proper"|"6/12/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"3355.00"|"3355.00"|"0.00"
"101"|"     13348"|"101"|"204058"|"Columbia Sportswear Compa"|"6/12/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"2197.00"|"2197.00"|"0.00"
"101"|"     13352"|"101"|"217373"|"Turner Construction      "|"6/12/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"343.00"|"3430.00"|"0.00"
"101"|"     13363"|"101"|"213514"|"Port of Seattle          "|"6/12/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"1486.87"|"19508.64"|"0.00"
"101"|"     13364"|"101"|"214494"|"Roebbelen Contracting PNW"|"6/12/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"1222.35"|"11996.00"|"0.00"
"101"|"     13621"|"101"|"219041"|"Emmanuel Church          "|"6/18/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"-25.00"|"0.00"|"0.00"
"101"|"     13784"|"101"|"209997"|"Langley Investment Proper"|"6/19/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"192.30"|"1923.00"|"0.00"
"101"|"     13832"|"101"|"209997"|"Langley Investment Proper"|"6/19/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"762.50"|"7625.00"|"0.00"
"101"|"     13836"|"101"|"208884"|"Johnson Project Solutions"|"6/19/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"333.00"|"3330.00"|"0.00"
"101"|"     13837"|"101"|"210062"|"Lease Crutcher Lewis     "|"6/19/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"1174.70"|"11747.00"|"0.00"
"101"|"     13838"|"101"|"214608"|"Russell Construction     "|"6/19/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"1387.50"|"13875.00"|"0.00"
